"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Arapahoe County, CO","08005","Large Central Metro","1","2023","2023",21,Not Available,Not Available,Not Available,Not Available
,"Arapahoe County, CO","08005","Large Central Metro","1","2024 ","2024",26,Not Available,Not Available,Not Available,Not Available
,"Boulder County, CO","08013","Medium Metro","3","2018","2018",10,326078,3.1,1.5,5.6
,"Boulder County, CO","08013","Medium Metro","3","2019","2019",11,326196,3.4,1.7,6.0
,"Boulder County, CO","08013","Medium Metro","3","2020","2020",13,327171,4.0,2.1,6.8
,"Boulder County, CO","08013","Medium Metro","3","2021","2021",10,329543,3.0,1.5,5.6
,"Boulder County, CO","08013","Medium Metro","3","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Boulder County, CO","08013","Medium Metro","3","2024 ","2024",14,Not Available,Not Available,Not Available,Not Available
,"Denver County, CO","08031","Large Central Metro","1","2018","2018",38,716492,5.3,3.8,7.3
,"Denver County, CO","08031","Large Central Metro","1","2019","2019",52,727211,7.2,5.3,9.4
,"Denver County, CO","08031","Large Central Metro","1","2020","2020",78,735538,10.6,8.4,13.2
,"Denver County, CO","08031","Large Central Metro","1","2021","2021",75,711463,10.5,8.3,13.2
,"Denver County, CO","08031","Large Central Metro","1","2022","2022",43,Not Available,Not Available,Not Available,Not Available
,"Denver County, CO","08031","Large Central Metro","1","2023","2023",39,Not Available,Not Available,Not Available,Not Available
,"Denver County, CO","08031","Large Central Metro","1","2024 ","2024",36,Not Available,Not Available,Not Available,Not Available
,"Douglas County, CO","08035","Large Fringe Metro","2","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"El Paso County, CO","08041","Medium Metro","3","2018","2018",30,713856,4.2,2.8,6.0
,"El Paso County, CO","08041","Medium Metro","3","2019","2019",28,720403,3.9,2.6,5.6
,"El Paso County, CO","08041","Medium Metro","3","2020","2020",36,728310,4.9,3.5,6.8
,"El Paso County, CO","08041","Medium Metro","3","2021","2021",43,737867,5.8,4.2,7.8
,"El Paso County, CO","08041","Medium Metro","3","2022","2022",29,Not Available,Not Available,Not Available,Not Available
,"El Paso County, CO","08041","Medium Metro","3","2023","2023",31,Not Available,Not Available,Not Available,Not Available
,"El Paso County, CO","08041","Medium Metro","3","2024 ","2024",19,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, CO","08059","Large Fringe Metro","2","2018","2018",21,580233,3.6,2.2,5.5
