"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Broward County, FL","12011","White","2106-3","2021","2021",49,1207686,4.1,3.0,5.4
,"Broward County, FL","12011","White","2106-3","2022","2022",17,1215478,1.4,0.8,2.2
,"Citrus County, FL","12017","White","2106-3","2019","2019",12,139059,8.6,4.5,15.1
,"Clay County, FL","12019","White","2106-3","2018","2018",12,174163,6.9,3.6,12.0
,"Collier County, FL","12021","White","2106-3","2018","2018",14,337959,4.1,2.3,7.0
,"Collier County, FL","12021","White","2106-3","2019","2019",13,343873,3.8,2.0,6.5
,"Collier County, FL","12021","White","2106-3","2020","2020",21,350672,6.0,3.7,9.2
,"Collier County, FL","12021","White","2106-3","2021","2021",16,344142,4.6,2.7,7.6
,"Duval County, FL","12031","White","2106-3","2018","2018",37,577732,6.4,4.5,8.8
,"Duval County, FL","12031","White","2106-3","2019","2019",37,580425,6.4,4.5,8.8
,"Duval County, FL","12031","White","2106-3","2020","2020",25,582649,4.3,2.8,6.3
,"Escambia County, FL","12033","White","2106-3","2018","2018",13,217466,6.0,3.2,10.2
,"Escambia County, FL","12033","White","2106-3","2019","2019",15,219195,6.8,3.8,11.3
,"Escambia County, FL","12033","White","2106-3","2020","2020",21,221897,9.5,5.9,14.5
,"Escambia County, FL","12033","White","2106-3","2021","2021",18,221931,8.1,4.8,12.8
,"Escambia County, FL","12033","White","2106-3","2022","2022",13,223590,5.8,3.1,9.9
,"Hillsborough County, FL","12057","Black or African American","2054-5","2020","2020",10,273549,3.7,1.8,6.7
,"Hillsborough County, FL","12057","White","2106-3","2018","2018",88,1067329,8.2,6.6,10.2
,"Hillsborough County, FL","12057","White","2106-3","2019","2019",68,1090585,6.2,4.8,7.9
,"Hillsborough County, FL","12057","White","2106-3","2020","2020",102,1101802,9.3,7.5,11.1
,"Hillsborough County, FL","12057","White","2106-3","2021","2021",38,1083063,3.5,2.5,4.8
,"Hillsborough County, FL","12057","White","2106-3","2022","2022",28,1103771,2.5,1.7,3.7
,"Hillsborough County, FL","12057","White","2106-3","2023","2023",12,1114290,1.1,0.6,1.9
,"Lake County, FL","12069","White","2106-3","2019","2019",14,306099,4.6,2.5,7.7
,"Lee County, FL","12071","White","2106-3","2018","2018",33,654951,5.0,3.5,7.1
,"Lee County, FL","12071","White","2106-3","2019","2019",20,669132,3.0,1.8,4.6
,"Lee County, FL","12071","White","2106-3","2020","2020",21,685264,3.1,1.9,4.7
,"Manatee County, FL","12081","White","2106-3","2019","2019",11,346683,3.2,1.6,5.7
,"Marion County, FL","12083","White","2106-3","2018","2018",24,295682,8.1,5.2,12.1
,"Marion County, FL","12083","White","2106-3","2019","2019",32,300068,10.7,7.3,15.1
,"Marion County, FL","12083","White","2106-3","2020","2020",33,305782,10.8,7.4,15.2
,"Marion County, FL","12083","White","2106-3","2021","2021",19,315135,6.0,3.6,9.4
,"Miami-Dade County, FL","12086","Black or African American","2054-5","2018","2018",10,495637,2.0,1.0,3.7
,"Miami-Dade County, FL","12086","Black or African American","2054-5","2019","2019",11,481760,2.3,1.1,4.1
,"Miami-Dade County, FL","12086","White","2106-3","2018","2018",41,2177101,1.9,1.4,2.6
,"Miami-Dade County, FL","12086","White","2106-3","2019","2019",41,2147711,1.9,1.4,2.6
,"Miami-Dade County, FL","12086","White","2106-3","2020","2020",26,2139127,1.2,0.8,1.8
,"Miami-Dade County, FL","12086","White","2106-3","2021","2021",10,2110014,0.5,0.2,0.9
,"Okaloosa County, FL","12091","White","2106-3","2018","2018",13,168142,7.7,4.1,13.2
,"Okaloosa County, FL","12091","White","2106-3","2020","2020",12,171912,7.0,3.6,12.2
,"Okaloosa County, FL","12091","White","2106-3","2021","2021",10,171965,5.8,2.8,10.7
,"Orange County, FL","12095","White","2106-3","2018","2018",43,940371,4.6,3.3,6.2
,"Orange County, FL","12095","White","2106-3","2019","2019",42,947860,4.4,3.2,6.0
,"Orange County, FL","12095","White","2106-3","2020","2020",25,951731,2.6,1.7,3.9
,"Orange County, FL","12095","White","2106-3","2021","2021",13,961742,1.4,0.7,2.3
,"Osceola County, FL","12097","White","2106-3","2018","2018",12,292099,4.1,2.1,7.2
,"Osceola County, FL","12097","White","2106-3","2019","2019",14,297241,4.7,2.6,7.9
