"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Sonoma County, CA","06097","White","2106-3","2020","2020",23,422938,5.4,3.4,8.2
,"Sonoma County, CA","06097","White","2106-3","2022","2022",16,413772,3.9,2.2,6.3
,"Sonoma County, CA","06097","White","2106-3","2023","2023",17,411965,4.1,2.4,6.6
,"Sonoma County, CA","06097","White","2106-3","2024 ","2024",17,412652,4.1,2.4,6.6
,"Stanislaus County, CA","06099","White","2106-3","2018","2018",12,458862,2.6,1.4,4.6
,"Stanislaus County, CA","06099","White","2106-3","2019","2019",16,458498,3.5,2.0,5.7
,"Stanislaus County, CA","06099","White","2106-3","2020","2020",17,454791,3.7,2.2,6.0
,"Stanislaus County, CA","06099","White","2106-3","2021","2021",18,456080,3.9,2.3,6.2
,"Stanislaus County, CA","06099","White","2106-3","2022","2022",13,452657,2.9,1.5,4.9
,"Stanislaus County, CA","06099","White","2106-3","2023","2023",19,451240,4.2,2.5,6.6
,"Stanislaus County, CA","06099","White","2106-3","2024 ","2024",11,453148,2.4,1.2,4.3
,"Ventura County, CA","06111","White","2106-3","2018","2018",37,715662,5.2,3.6,7.1
,"Ventura County, CA","06111","White","2106-3","2019","2019",34,711087,4.8,3.3,6.7
,"Ventura County, CA","06111","White","2106-3","2020","2020",30,704301,4.3,2.9,6.1
,"Ventura County, CA","06111","White","2106-3","2021","2021",44,701969,6.3,4.6,8.4
,"Ventura County, CA","06111","White","2106-3","2022","2022",29,693833,4.2,2.8,6.0
,"Ventura County, CA","06111","White","2106-3","2023","2023",34,689823,4.9,3.4,6.9
,"Ventura County, CA","06111","White","2106-3","2024 ","2024",28,691619,4.0,2.7,5.9
,"Adams County, CO","08001","White","2106-3","2018","2018",28,440318,6.4,4.2,9.2
,"Adams County, CO","08001","White","2106-3","2019","2019",17,443528,3.8,2.2,6.1
,"Adams County, CO","08001","White","2106-3","2020","2020",22,443705,5.0,3.1,7.5
,"Adams County, CO","08001","White","2106-3","2021","2021",36,444924,8.1,5.7,11.2
,"Adams County, CO","08001","White","2106-3","2022","2022",22,447112,4.9,3.1,7.4
,"Adams County, CO","08001","White","2106-3","2023","2023",15,450044,3.3,1.9,5.5
,"Adams County, CO","08001","White","2106-3","2024 ","2024",20,454200,4.4,2.7,6.8
,"Arapahoe County, CO","08005","White","2106-3","2018","2018",27,499651,5.4,3.6,7.9
,"Arapahoe County, CO","08005","White","2106-3","2019","2019",24,502075,4.8,3.1,7.1
,"Arapahoe County, CO","08005","White","2106-3","2020","2020",15,500026,3.0,1.7,4.9
,"Arapahoe County, CO","08005","White","2106-3","2021","2021",22,496029,4.4,2.8,6.7
,"Arapahoe County, CO","08005","White","2106-3","2022","2022",19,493518,3.8,2.3,6.0
,"Arapahoe County, CO","08005","White","2106-3","2023","2023",15,492099,3.0,1.7,5.0
,"Arapahoe County, CO","08005","White","2106-3","2024 ","2024",25,495082,5.0,3.3,7.5
,"Boulder County, CO","08013","White","2106-3","2019","2019",11,293688,3.7,1.9,6.7
